Route,unique_id
London Gatwick - Bangkok,22c34904-14b6-4e44-9dd6-e6c214a9bad7
Bangkok via Singapore,dd482299-4175-4f6f-a614-aaf1979e3e03
Zurich via Singapore,a3e93e47-cde3-463e-80d9-94f498a1eb0a
LUN toi HKG via JNB,1fdca383-c757-48fc-ad04-c37bf19c08cf
AKL ro SIN,247c8d48-c68c-4d2b-a79f-0847916326e8
St Louis Dallas,1d7e3165-4fc5-4a93-a9ea-36e9f92cb77d
Fort Lauderdale via Chicago,9aa04464-2eeb-4b5e-89a5-43f8a4160d4c
Orlando via Richmond,d927d2df-6738-4f9f-8d7c-0d7772f1a5fa
Myrtle Beach St. Thomas via Ft. Lauderdale,3a7bae18-059a-4ea6-b3b2-8d8ba0755ad0
MSP top LAS,33cbef98-7bfd-4f1f-b657-eb40c5d49d01
Toronto via Varadero,e1e9ea77-4dcf-41b6-8b6c-508a3cf64996
Mazatlan via Abbotsford,518abbe4-7961-4cc2-885b-fe8b7c37b838
Bangkok via Mumbai,e48a9740-f8a3-4a21-ad68-739964a5f071
Q,dcf1b15d-e123-444f-bfb8-26c22ce94e07
Frankfurt toBucharest,88b38306-0b4b-453e-9332-20690df71d02
SIN toi MFM,ec845f62-0f20-41c3-b7e0-14b2e64a532e
Manchester - Crete,dcee3179-bf4f-405f-af3e-9fb2d24ee294
Glasgow and Corfu,47674c89-2eb2-42f8-ba9e-320b8ffc9c1a
Jakartato Yogyakarta,82c537b6-5076-4a14-bdef-b32ef89fab67
Dublin - Charlotte,b90650de-2265-40ea-b5f1-edcc7178711a
A Coruna via Bilbao,9cd7e66a-0be8-452f-897a-af580b6e564c
Ho Chi Minh City and Phu Quoc,a3ddb6e8-9e8e-4163-969d-e84679fbfd1a
London Heathrow - Seattle ,90b95e12-c33a-4f73-a65d-52d84506b4a6
London Heathrow - Ho Chi Minh City,44d1d8c9-463c-4f75-b2c6-985b5a0cff82
San Francisco via Chicago,280d7054-ef75-4f1d-b16e-7a43f416bcdb
Washington tyo Tehran via Istanbul,7d737534-076f-4025-a2ab-a45e1c2834ce
Parisnto Kiev via Istanbul,6f939734-3653-4b8f-b8ab-ce7dd42476ba
SeattletoJacklsonville via Denver,22eb0527-3f62-49d3-b14d-237c1251d6e9
Chicago O'Hare (ORD) to Houston (IAH),bd2f2fbd-e655-486f-95f2-497ad81a4f69
BXH toCPT via DUR/CPT,418d0c5d-622e-40ba-9476-496850b1e220
"Geneva, to Milwaukee via Newark",a46b0eba-4f47-4f54-9a11-516246dcf5a0
"Washington, D.C. to Cleveland ",d3c0e425-6ae3-46c3-941f-95e8d2808bce
Tulsa Sioux Falls ,8a5d7a77-2bdf-406d-b9e2-b40d1fd8e584
"Vancouver, B.C. to Chicago, IL",0e53cf3b-8996-4bf6-9e66-d560c7aa3b02
Newark - Tel Aviv,23c25597-06f6-4331-ba87-8f0869281401
